Column1;RefCode;IDCode;SiteCode.x;BatGenus;BatSpecies;CurrentBatSpecies;TrophicGuild;PlantFamily;PlantGenus;PlantSpecies;CurrentPlantSpecies;LifeForm;SuccessionalStage;Interaction;Weight;SiteCode.y;Locality;State;Country;Latitude;Longitude;Precision;YearStart;YearEnd;Duration;SamplingEffort;StudyType;EcologicalScale;SamplingMethod;SamplingSeason;Vegetation;VegType;Ecoregion;Domain;Elevation;X1kmAlt;AnnRain;MeaAnnTemp;PET;GAI
3;BPR002;BPI0003;BPA002;Platyrrhinus;Platyrrhinus lineatus;Platyrrhinus lineatus;Frugivore;Icacinaceae;Emmotum;Emmotum nitens;Emmotum nitens;Tree;NA;Frugivory;NA;BPA002;Embrapa Cerrados - Planaltina;Distrito Federal;Brazil;-15,6283333;-47,37083333;Precise;2004;2004;3;NA;Bat diet;Population;Roosting inspection ;Dry;NA;Savanna woodland;Cerrado;Cerrado;NA;885;1430;21.5;1547;0.9241
4;BPR003;BPI0004;BPA003;Artibeus;Artibeus fimbriatus;Artibeus fimbriatus;Frugivore;Piperaceae;Piper;Piper amalago;Piper amalago;Shrub;Early;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
5;BPR003;BPI0005;BPA003;Artibeus;Artibeus fimbriatus;Artibeus fimbriatus;Frugivore;Piperaceae;Piper;Piper crassinervium;Piper crassinervium;Shrub;Early;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
6;BPR003;BPI0006;BPA003;Artibeus;Artibeus fimbriatus;Artibeus fimbriatus;Frugivore;Unidentified;Unidentified;Unidentified sp.1;Unidentified sp.1;NA;NA;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
7;BPR003;BPI0007;BPA003;Artibeus;Artibeus lituratus;Artibeus lituratus;Frugivore;Urticaceae;Cecropia;Cecropia glaziovi;Cecropia glaziovii;Tree;Early;Frugivory;3;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
8;BPR003;BPI0008;BPA003;Artibeus;Artibeus lituratus;Artibeus lituratus;Frugivore;Urticaceae;Cecropia;Cecropia pachystachya;Cecropia pachystachya;Tree;Early;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
9;BPR003;BPI0009;BPA003;Artibeus;Artibeus lituratus;Artibeus lituratus;Frugivore;Unidentified;Unidentified;Unidentified sp.3;Unidentified sp.3;NA;NA;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
10;BPR003;BPI0010;BPA003;Artibeus;Artibeus lituratus;Artibeus lituratus;Frugivore;Unidentified;Unidentified;Unidentified sp.5;Unidentified sp.5;NA;NA;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
11;BPR003;BPI0011;BPA003;Artibeus;Artibeus obscurus;Artibeus obscurus;Frugivore;Urticaceae;Cecropia;Cecropia pachystachya;Cecropia pachystachya;Tree;Early;Frugivory;2;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
12;BPR003;BPI0012;BPA003;Artibeus;Artibeus obscurus;Artibeus obscurus;Frugivore;Piperaceae;Piper;Piper amalago;Piper amalago;Shrub;Early;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
13;BPR003;BPI0013;BPA003;Artibeus;Artibeus obscurus;Artibeus obscurus;Frugivore;Piperaceae;Piper;Piper crassinervium;Piper crassinervium;Shrub;Early;Frugivory;2;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
14;BPR003;BPI0014;BPA003;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Hypericaceae;Vismia;Vismia sp.;Vismia sp.;NA;NA;Frugivory;2;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
15;BPR003;BPI0015;BPA003;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Clusiaceae;Unidentified;Clusiaceae sp.;Unidentified sp.7;NA;NA;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
16;BPR003;BPI0016;BPA003;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Moraceae;Ficus;Ficus sp.;Ficus sp.;NA;NA;Frugivory;5;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
17;BPR003;BPI0017;BPA003;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Piperaceae;Piper;Piper aduncum;Piper aduncum;Shrub;Early;Frugivory;18;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
18;BPR003;BPI0018;BPA003;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Piperaceae;Piper;Piper amalago;Piper amalago;Shrub;Early;Frugivory;27;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
19;BPR003;BPI0019;BPA003;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Piperaceae;Piper;Piper crassinervium;Piper crassinervium;Shrub;Early;Frugivory;37;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
20;BPR003;BPI0020;BPA003;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Piperaceae;Piper;Piper sp.;Piper sp.;Shrub;NA;Frugivory;8;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
21;BPR003;BPI0021;BPA003;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Solanaceae;Unidentified;Solanaceae sp.1;Unidentified sp.8;NA;NA;Frugivory;3;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
22;BPR003;BPI0022;BPA003;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Solanaceae;Unidentified;Solanaceae sp.2;Unidentified sp.9;NA;NA;Frugivory;3;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
23;BPR003;BPI0023;BPA003;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Solanaceae;Unidentified;Solanaceae sp.3;Unidentified sp.10;NA;NA;Frugivory;6;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
24;BPR003;BPI0024;BPA003;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Solanaceae;Unidentified;Solanaceae sp.4;Unidentified sp.11;NA;NA;Frugivory;2;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
25;BPR003;BPI0025;BPA003;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Solanaceae;Unidentified;Solanaceae sp.5;Unidentified sp.12;NA;NA;Frugivory;3;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
26;BPR003;BPI0026;BPA003;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Unidentified;Unidentified;Unidentified sp.1;Unidentified sp.1;NA;NA;Frugivory;6;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
27;BPR003;BPI0027;BPA003;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Unidentified;Unidentified;Unidentified sp.3;Unidentified sp.3;NA;NA;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
28;BPR003;BPI0028;BPA003;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Unidentified;Unidentified;Unidentified sp.4;Unidentified sp.4;NA;NA;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
29;BPR003;BPI0029;BPA003;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Unidentified;Unidentified;Unidentified sp.5;Unidentified sp.5;NA;NA;Frugivory;3;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
30;BPR003;BPI0030;BPA003;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Unidentified;Unidentified;Unidentified sp.6;Unidentified sp.6;NA;NA;Frugivory;5;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
31;BPR003;BPI0031;BPA003;Platyrrhinus;Platyhrrynus lineatus;Platyrrhinus lineatus;Frugivore;Unidentified;Unidentified;Unidentified sp.2;Unidentified sp.2;NA;NA;Frugivory;2;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
32;BPR003;BPI0032;BPA003;Sturnira;Sturnira lilium;Sturnira lilium;Frugivore;Urticaceae;Cecropia;Cecropia hololeuca;Cecropia hololeuca;Tree;Late;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
33;BPR003;BPI0033;BPA003;Sturnira;Sturnira lilium;Sturnira lilium;Frugivore;Urticaceae;Cecropia;Cecropia glaziovi;Cecropia glaziovii;Tree;Early;Frugivory;3;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
34;BPR003;BPI0034;BPA003;Sturnira;Sturnira lilium;Sturnira lilium;Frugivore;Hypericaceae;Vismia;Vismia sp.;Vismia sp.;NA;NA;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
35;BPR003;BPI0035;BPA003;Sturnira;Sturnira lilium;Sturnira lilium;Frugivore;Piperaceae;Piper;Piper crassinervium;Piper crassinervium;Shrub;Early;Frugivory;2;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
36;BPR003;BPI0036;BPA003;Sturnira;Sturnira lilium;Sturnira lilium;Frugivore;Piperaceae;Piper;Piper sp.;Piper sp.;Shrub;NA;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
37;BPR003;BPI0037;BPA003;Sturnira;Sturnira lilium;Sturnira lilium;Frugivore;Solanaceae;Unidentified;Solanaceae sp.3;Unidentified sp.10;NA;NA;Frugivory;2;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
38;BPR003;BPI0038;BPA003;Sturnira;Sturnira lilium;Sturnira lilium;Frugivore;Unidentified;Unidentified;Unidentified sp.1;Unidentified sp.1;NA;NA;Frugivory;2;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
39;BPR003;BPI0039;BPA003;Sturnira;Sturnira lilium;Sturnira lilium;Frugivore;Unidentified;Unidentified;Unidentified sp.6;Unidentified sp.6;NA;NA;Frugivory;2;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
40;BPR003;BPI0040;BPA003;Vampyressa;Vampyressa pusilla;Vampyressa pusilla;Frugivore;Unidentified;Unidentified;Unidentified sp.2;Unidentified sp.2;NA;NA;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
41;BPR003;BPI0041;BPA003;Vampyressa;Vampyressa pusilla;Vampyressa pusilla;Frugivore;Unidentified;Unidentified;Unidentified sp.3;Unidentified sp.3;NA;NA;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
42;BPR003;BPI0042;BPA003;Vampyressa;Vampyressa pusilla;Vampyressa pusilla;Frugivore;Unidentified;Unidentified;Unidentified sp.4;Unidentified sp.4;NA;NA;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
43;BPR003;BPI0043;BPA003;Vampyressa;Vampyressa pusilla;Vampyressa pusilla;Frugivore;Unidentified;Unidentified;Unidentified sp.5;Unidentified sp.5;NA;NA;Frugivory;1;BPA003;Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala;Minas Gerais;Brazil;-19,728151;-41,813929;Precise;1989;1990;11;166;Bat diet;Assemblage;Feces collection;Dry and Wet;Lowland tropical moist forest;Semideciduous forest;Bahia interior forests;Atlantic Forest;628;442;1211;21.6;1306;0.9267
137;BPR012;BPI0101;BPA013;Artibeus;Artibeus lituratus;Artibeus lituratus;Frugivore;Piperaceae;Piper;Piper arboreum;Piper arboreum;Shrub;Early;Frugivory;NA;BPA013;Fazenda Agua Limpa;Distrito Federal;Brazil;-15,94835;-47,934083;Precise;1994;1995;4;82;Bat diet;Assemblage;Feces collection;Wet;evergreen mesophytic forest;Seasonal riverine forest;Cerrado;Cerrado;>1000;1071;1527;20.6;1518;10.058
138;BPR012;BPI0102;BPA013;Carollia;Carollia perspicillata;Carollia perspicillata;Frugivore;Piperaceae;Piper;Piper arboreum;Piper arboreum;Shrub;Early;Frugivory;NA;BPA013;Fazenda Agua Limpa;Distrito Federal;Brazil;-15,94835;-47,934083;Precise;1994;1995;4;82;Bat diet;Assemblage;Feces collection;Wet;evergreen mesophytic forest;Seasonal riverine forest;Cerrado;Cerrado;>1000;1071;1527;20.6;1518;10.058
139;BPR012;BPI0103;BPA013;Glossophaga;Glossophaga soricina;Glossophaga soricina;Nectarivore;Piperaceae;Piper;Piper arboreum;Piper arboreum;Shrub;Early;Frugivory;NA;BPA013;Fazenda Agua Limpa;Distrito Federal;Brazil;-15,94835;-47,934083;Precise;1994;1995;4;82;Bat diet;Assemblage;Feces collection;Wet;evergreen mesophytic forest;Seasonal riverine forest;Cerrado;Cerrado;>1000;1071;1527;20.6;1518;10.058
140;BPR012;BPI0104;BPA013;Sturnira;Sturnira lilium;Sturnira lilium;Frugivore;Piperaceae;Piper;Piper arboreum;Piper arboreum;Shrub;Early;Frugivory;NA;BPA013;Fazenda Agua Limpa;Distrito Federal;Brazil;-15,94835;-47,934083;Precise;1994;1995;4;82;Bat diet;Assemblage;Feces collection;Wet;evergreen mesophytic forest;Seasonal riverine forest;Cerrado;Cerrado;>1000;1071;1527;20.6;1518;10.058
241;BPR015;BPI0205;BPA016;Glossophaga;Glossophaga soricina;Glossophaga soricina;Nectarivore;Passifloraceae;Tetrastylis;Tetrastylis ovalis;Tetrastylis ovalis;Vine;Late;Nectarivory;NA;BPA016;Natural Reserve Vale do Rio Doce - Linhares;Espirito Santo;Brazil;-19,151048;-40,070882;Not precise;1989;1989;2;NA;Plant visitation;Population;Direct observation;Dry;Mata de Tabuleiro;Rainforest;Bahia coastal forests;Atlantic Forest;NA;66;1197;23.6;1352;0.8852
242;BPR015;BPI0206;BPA016;Rhinophylla;Rhinophylla pumilio;Rhinophylla pumilio;Frugivore;Passifloraceae;Tetrastylis;Tetrastylis ovalis;Tetrastylis ovalis;Vine;Late;Nectarivory;NA;BPA016;Natural Reserve Vale do Rio Doce - Linhares;Espirito Santo;Brazil;-19,151048;-40,070882;Not precise;1989;1989;2;NA;Plant visitation;Population;Direct observation;Dry;Mata de Tabuleiro;Rainforest;Bahia coastal forests;Atlantic Forest;NA;66;1197;23.6;1352;0.8852
243;BPR016;BPI0207;BPA017;Anoura;Anoura caudifer;Anoura caudifer;Nectarivore;Malvaceae;Bakeridesia;Abutilon rufinerve var. latifolium;Bakeridesia rufinervis;Tree;NA;Nectarivory;NA;BPA017;Parque Estadual da Serra do Mar;Sao Paulo;Brazil;-23,160181;-44,834228;Not precise;NA;NA;NA;NA;Plant visitation;Population;Direct observation;NA;Broadleaf forest;Rainforest;Serra do Mar coastal forests;Atlantic Forest;1100;1496;1791;14.2;1097;16.313
244;BPR016;BPI0207;BPA017;Anoura;Anoura caudifer;Anoura caudifer;Nectarivore;Malvaceae;Bakeridesia;Abutilon rufinerve var. latifolium;Bakeridesia rufinervis;Tree;NA;Nectarivory;NA;BPA018;Monte Verde - Camanducaia;Minas Gerais;Brazil;-22,855548;-46,04076;Not precise;NA;NA;NA;NA;Plant visitation;Population;Direct observation;NA;Mixed broadleaf and araucaria forest;Mixed forest;Serra do Mar coastal forests;Atlantic Forest;1600;1584;1741;14;1124;1.548
245;BPR016;BPI0207;BPA017;Anoura;Anoura caudifer;Anoura caudifer;Nectarivore;Malvaceae;Bakeridesia;Abutilon rufinerve var. latifolium;Bakeridesia rufinervis;Tree;NA;Nectarivory;NA;BPA019;Parque Estadual de Campos do Jordao;Sao Paulo;Brazil;-22,688723;-45,481382;Not precise;NA;NA;NA;NA;Plant visitation;Population;Direct observation;NA;Mixed broadleaf and araucaria forest;Mixed forest;Serra do Mar coastal forests;Atlantic Forest;1500;1549;1757;14.2;1134;15.489
246;BPR016;BPI0208;BPA018;Anoura;Anoura caudifer;Anoura caudifer;Nectarivore;Malvaceae;Abutilon;Abutilon regnellii;Abutilon regnellii;Shrub;Early;Nectarivory;NA;BPA017;Parque Estadual da Serra do Mar;Sao Paulo;Brazil;-23,160181;-44,834228;Not precise;NA;NA;NA;NA;Plant visitation;Population;Direct observation;NA;Broadleaf forest;Rainforest;Serra do Mar coastal forests;Atlantic Forest;1100;1496;1791;14.2;1097;16.313
247;BPR016;BPI0208;BPA018;Anoura;Anoura caudifer;Anoura caudifer;Nectarivore;Malvaceae;Abutilon;Abutilon regnellii;Abutilon regnellii;Shrub;Early;Nectarivory;NA;BPA018;Monte Verde - Camanducaia;Minas Gerais;Brazil;-22,855548;-46,04076;Not precise;NA;NA;NA;NA;Plant visitation;Population;Direct observation;NA;Mixed broadleaf and araucaria forest;Mixed forest;Serra do Mar coastal forests;Atlantic Forest;1600;1584;1741;14;1124;1.548
248;BPR016;BPI0208;BPA018;Anoura;Anoura caudifer;Anoura caudifer;Nectarivore;Malvaceae;Abutilon;Abutilon regnellii;Abutilon regnellii;Shrub;Early;Nectarivory;NA;BPA019;Parque Estadual de Campos do Jordao;Sao Paulo;Brazil;-22,688723;-45,481382;Not precise;NA;NA;NA;NA;Plant visitation;Population;Direct observation;NA;Mixed broadleaf and araucaria forest;Mixed forest;Serra do Mar coastal forests;Atlantic Forest;1500;1549;1757;14.2;1134;15.489
249;BPR016;BPI0209;BPA019;Anoura;Anoura caudifer;Anoura caudifer;Nectarivore;Malvaceae;Abutilon;Abutilon aff. regnellii;Abutilon regnellii;Shrub;Early;Nectarivory;NA;BPA017;Parque Estadual da Serra do Mar;Sao Paulo;Brazil;-23,160181;-44,834228;Not precise;NA;NA;NA;NA;Plant visitation;Population;Direct observation;NA;Broadleaf forest;Rainforest;Serra do Mar coastal forests;Atlantic Forest;1100;1496;1791;14.2;1097;16.313
