ID;Frugivore_Species;Plant_Species;Type of Interaction;Plant_family;Plant_genus;Plant_specific.epiteth;Plant_distribution;Plant_origin;Plant_Form;fruit_diameter;fruit_length;seed_diameter;seed_length;Fruit_color;Lipid_Score;Plants_IUCN;Frug_Class;Frug_Order;Frug_Family;Frug_Genus;Frug_Epitetus;Frug_Group;Frug_Body_Mass;Frug_Mean_Gape_Size;Frugivory_score;Frug_Migration_status;Frug_IUCN;Frug_Population_Trend;Study_Location;Latitude;Longitude;Precision;Study reference;Doi/Link;Study_Method
1192;Brachyteles arachnoides;Abuta selloana;Mutualistic;Menispermaceae;Abuta;selloana;BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;liana;17;32;13.2;NA;yellow;1;LC;Mammalia;Primates;Atelidae;Brachyteles;arachnoides;Primates;10750;NA;3;NA;EN;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1193;Brachyteles arachnoides;Abuta selloana;Mutualistic;Menispermaceae;Abuta;selloana;BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;liana;17;32;13.2;NA;yellow;1;LC;Mammalia;Primates;Atelidae;Brachyteles;arachnoides;Primates;10750;NA;3;NA;EN;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1195;Sapajus nigritus;Abuta selloana;Mutualistic;Menispermaceae;Abuta;selloana;BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;liana;17;32;13.2;NA;yellow;1;LC;Mammalia;Primates;Cebidae;Sapajus;nigritus;Primates;3500;NA;2;NA;NT;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
4268;Brachyteles arachnoides;Abuta selloana;Mutualistic;Menispermaceae;Abuta;selloana;BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;liana;17;32;13.2;NA;yellow;1;LC;Mammalia;Primates;Atelidae;Brachyteles;arachnoides;Primates;10750;NA;3;NA;EN;Decreasing;Reserva Biol¢gica Augusto Ruschi, ES;-19,87;-40,55;preciso;Hilario 2010;https://scholar.google.com/citations?view_op=view_citation&hl=es&user=ZNY27dYAAAAJ&cstart=100&sortby=pubdate&citation_for_view=ZNY27dYAAAAJ:BqipwSGYUEgC;Animal-oriented
4269;Brachyteles arachnoides;Abuta selloana;Mutualistic;Menispermaceae;Abuta;selloana;BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;liana;17;32;13.2;NA;yellow;1;LC;Mammalia;Primates;Atelidae;Brachyteles;arachnoides;Primates;10750;NA;3;NA;EN;Decreasing;Parque Estadual de Intervales;-24,31;-48,27;preciso;Izar 2008;https://www.researchgate.net/publication/265466040_DISPERSAO_DE_SEMENTES_POR_CEBUS_NIGRITUS_E_BRACHYTELES_ARACHNOIDES_EM_AREA_DE_MATA_ATLANTICA_PARQUE_ESTADUAL_INTERVALES_SP;Animal-oriented
4270;Brachyteles arachnoides;Abuta selloana;Mutualistic;Menispermaceae;Abuta;selloana;BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;liana;17;32;13.2;NA;yellow;1;LC;Mammalia;Primates;Atelidae;Brachyteles;arachnoides;Primates;10750;NA;3;NA;EN;Decreasing;Fragmento Urbano de Aquidauana, MS;-20,47;-55,79;impreciso;Junior;NA;Animal-oriented
1209;Dasyprocta leporina;Acrocomia aculeata;Mutualistic;Arecaceae;Acrocomia;aculeata;BR-AM|BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RR|BR-SP|BR-TO;native;palm;36;33;31.6;31.6;yellow;3;NE;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;leporina;Rodents;5500;NA;3;NA;LC;Stable;NA;NA;NA;NA;MAPizo unpublished;NA;Animal-oriented
1210;Tapirus terrestris;Acrocomia aculeata;Mutualistic;Arecaceae;Acrocomia;aculeata;BR-AM|BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RR|BR-SP|BR-TO;native;palm;36;33;31.6;31.6;yellow;3;NE;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Ungulates;260000;NA;1;NA;VU;Decreasing;NA;NA;NA;NA;O'Farrill et al  2013;10.1111/j.1749-4877.2012.00316.x;Animal-oriented
4409;Tapirus terrestris;Acrocomia aculeata;Mutualistic;Arecaceae;Acrocomia;aculeata;BR-AM|BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RR|BR-SP|BR-TO;native;palm;36;33;31.6;31.6;yellow;3;NE;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Ungulates;260000;NA;1;NA;VU;Decreasing;Parque Nacional da Tijuca, RJ;-22,96;-43,27;preciso;Cunha 2006;NA;Animal-oriented
5064;Dasyprocta leporina;Acrocomia aculeata;Mutualistic;Arecaceae;Acrocomia;aculeata;BR-AM|BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RR|BR-SP|BR-TO;native;palm;36;33;31.6;31.6;yellow;3;NE;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;leporina;Rodents;5500;NA;3;NA;LC;Stable;NA;NA;NA;NA;MAPizo unpublished;NA;Animal-oriented
1211;Sapajus xanthosternos;Aechmea conifera;Mutualistic;Bromeliaceae;Aechmea;conifera;BR-AL|BR-BA|BR-PE;native;herb;NA;NA;NA;NA;red;1;NE;Mammalia;Primates;Cebidae;Sapajus;xanthosternos;Primates;2950;NA;2;NA;CR;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1212;Leontopithecus chrysomelas;Aechmea depressa;Mutualistic;Bromeliaceae;Aechmea;depressa;BR-BA|BR-ES;native;herb;NA;NA;NA;NA;red;1;EN;Mammalia;Primates;Callitrichidae;Leontopithecus;chrysomelas;Primates;600;NA;2;NA;EN;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1213;Leontopithecus caissara;Aechmea nudicaulis;Mutualistic;Bromeliaceae;Aechmea;nudicaulis;BR-AL|BR-BA|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SE|BR-SP;native;herb;NA;NA;NA;NA;red;1;LC;Mammalia;Primates;Callitrichidae;Leontopithecus;caissara;Primates;570;NA;2;NA;CR;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1214;Callicebus nigrifrons;Aegiphila integrifolia;Mutualistic;Lamiaceae;Aegiphila;integrifolia;BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO;native;tree;8;9;7;8;red;3;NE;Mammalia;Primates;Pitheciidae;Callicebus;nigrifrons;Primates;1300;NA;2;NA;NT;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1215;Callicebus nigrifrons;Aegiphila integrifolia;Mutualistic;Lamiaceae;Aegiphila;integrifolia;BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO;native;tree;8;9;7;8;red;3;NE;Mammalia;Primates;Pitheciidae;Callicebus;nigrifrons;Primates;1300;NA;2;NA;NT;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
4380;Brachyteles hypoxanthus;Alchornea glandulosa;Mutualistic;Euphorbiaceae;Alchornea;glandulosa;BR-AC|BR-AM|BR-MA|BR-MT|BR-PA|BR-RJ|BR-RO|BR-RR|BR-SC|BR-SP;native;tree;6;9;5;8;red;3;NE;Mammalia;Primates;Atelidae;Brachyteles;hypoxanthus;Primates;13000;NA;3;NA;CR;Decreasing;Reserva de Santa Genebra, SP;-47,11;-22,83;preciso;Chiarello 1994;http://link.springer.com/article/10.1007/BF02381483;Animal-oriented
1269;Alouatta guariba;Alchornea triplinervia;Mutualistic;Euphorbiaceae;Alchornea;triplinervia;BR-AC|BR-AM|BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP;native;tree;4.7;5.8;4.1;5.8;red;3;NE;Mammalia;Primates;Atelidae;Alouatta;guariba;Primates;5625;NA;1;NA;CR;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1270;Brachyteles arachnoides;Alchornea triplinervia;Mutualistic;Euphorbiaceae;Alchornea;triplinervia;BR-AC|BR-AM|BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP;native;tree;4.7;5.8;4.1;5.8;red;3;NE;Mammalia;Primates;Atelidae;Brachyteles;arachnoides;Primates;10750;NA;3;NA;EN;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
4470;Brachyteles hypoxanthus;Alchornea triplinervia;Mutualistic;Euphorbiaceae;Alchornea;triplinervia;BR-AC|BR-AM|BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP;native;tree;4.7;5.8;4.1;5.8;red;3;NE;Mammalia;Primates;Atelidae;Brachyteles;hypoxanthus;Primates;13000;NA;3;NA;CR;Decreasing;Reserva Biol¢gica de Una, BA;-15,20;-39,03;preciso;Catenacci 2009;10.1111/j.1744-7429.2009.00530.x;Animal-oriented
4471;Brachyteles hypoxanthus;Alchornea triplinervia;Mutualistic;Euphorbiaceae;Alchornea;triplinervia;BR-AC|BR-AM|BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP;native;tree;4.7;5.8;4.1;5.8;red;3;NE;Mammalia;Primates;Atelidae;Brachyteles;hypoxanthus;Primates;13000;NA;3;NA;CR;Decreasing;Reserva de Santa Genebra, SP;-47,11;-22,83;preciso;Chiarello 1994;http://link.springer.com/article/10.1007/BF02381483;Animal-oriented
4472;Brachyteles hypoxanthus;Alchornea triplinervia;Mutualistic;Euphorbiaceae;Alchornea;triplinervia;BR-AC|BR-AM|BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP;native;tree;4.7;5.8;4.1;5.8;red;3;NE;Mammalia;Primates;Atelidae;Brachyteles;hypoxanthus;Primates;13000;NA;3;NA;CR;Decreasing;Parque Estadual de Intervales;-24,31;-48,27;preciso;Izar 2008;https://www.researchgate.net/publication/265466040_DISPERSAO_DE_SEMENTES_POR_CEBUS_NIGRITUS_E_BRACHYTELES_ARACHNOIDES_EM_AREA_DE_MATA_ATLANTICA_PARQUE_ESTADUAL_INTERVALES_SP;Animal-oriented
1273;Procyon cancrivorus;Allagoptera arenaria;Mutualistic;Arecaceae;Allagoptera;arenaria;BR-BA|BR-ES|BR-PR|BR-RJ|BR-SE|BR-SP;native;palm;11.5;NA;NA;NA;brown;2;LC;Mammalia;Carnivora;Procyonidae;Procyon;cancrivorus;Carnivores;5400;NA;1;NA;LC;Decreasing;NA;NA;NA;NA;Gatti et al 2006;NA;Animal-oriented
1274;Procyon cancrivorus;Allagoptera arenaria;Mutualistic;Arecaceae;Allagoptera;arenaria;BR-BA|BR-ES|BR-PR|BR-RJ|BR-SE|BR-SP;native;palm;11.5;NA;NA;NA;brown;2;LC;Mammalia;Carnivora;Procyonidae;Procyon;cancrivorus;Carnivores;5400;NA;1;NA;LC;Decreasing;NA;NA;NA;NA;Martinelli Volpi 2010;http://www.scielo.br/scielo.php?script=sci_nlinks&ref=000090&pid=S0073-4721201400020000300016&lng=en;Animal-oriented
1275;Cerdocyon thous;Allagoptera arenaria;Mutualistic;Arecaceae;Allagoptera;arenaria;BR-BA|BR-ES|BR-PR|BR-RJ|BR-SE|BR-SP;native;palm;11.5;NA;NA;NA;brown;2;LC;Mammalia;Carnivora;Canidae;Cerdocyon;thous;Carnivores;6500;NA;2;NA;LC;Stable;NA;NA;NA;NA;Galetti  unpublish;NA;Animal-oriented
1283;Callicebus nigrifrons;Amaioua guianensis;Mutualistic;Rubiaceae;Amaioua;guianensis;BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PR|BR-SC|BR-SP;native;tree;10;17;3.5;4.6;red;1;NE;Mammalia;Primates;Pitheciidae;Callicebus;nigrifrons;Primates;1300;NA;2;NA;NT;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1284;Leontopithecus caissara;Amaioua guianensis;Mutualistic;Rubiaceae;Amaioua;guianensis;BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PR|BR-SC|BR-SP;native;tree;10;17;3.5;4.6;red;1;NE;Mammalia;Primates;Callitrichidae;Leontopithecus;caissara;Primates;570;NA;2;NA;CR;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1287;Didelphis albiventris;Amaioua hybridus;Mutualistic;Amaranthaceae;Amaioua;hybridus;NA;NA;herb;NA;NA;NA;NA;red;1;NE;Mammalia;Didelphimorphia;Didelphidae;Didelphis;albiventris;Marsupials;850;NA;1;NA;LC;Stable;NA;NA;NA;NA;Galetti  unpublish;NA;Animal-oriented
1288;Didelphis albiventris;Amaranthus hybridus;Mutualistic;Amaranthaceae;Amaranthus;hybridus;NA;NA;herb;NA;NA;NA;NA;NA;1;NE;Mammalia;Didelphimorphia;Didelphidae;Didelphis;albiventris;Marsupials;850;NA;1;NA;LC;Stable;NA;NA;NA;NA;Galetti  unpublish;NA;Animal-oriented
7199;Artibeus;Andira fraxinifolia;Mutualistic;Fabaceae;Andira;fraxinifolia;BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP;native;tree;30.88;40.94;34.31;40.9;green;1;NE;Mammalia;Chiroptera;Noctilionoidea;Artibeus;;Bats;NA;NA;3;NA;NA;NA;Parque Estadual de Intervales;-24,27;-48,41;preciso;Wesley S et al 2002;10.1079/9780851995250.0423;Network study
3719;Artibeus jamaicensis;Andira inermis;Mutualistic;Fabaceae;Andira;inermis;BR-AC|BR-AM|BR-AP|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RO|BR-SC;native;tree;26.5;29.1;NA;NA;green;1;NE;Mammalia;Chiroptera;Phyllostomidae;Artibeus;jamaicensis;Bats;42;7.2;3;NA;LC;Stable;NA;NA;NA;NA;Bredt A et al 2012;http://www.livrariadocampus.com.br/products/Plantas-e-Morcegos-%252d-na-recupera%E7%E3o-de-%E1reas-degradadas-e-na-paisagem-urbana.html;Animal-oriented
3720;Artibeus lituratus;Andira inermis;Mutualistic;Fabaceae;Andira;inermis;BR-AC|BR-AM|BR-AP|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RO|BR-SC;native;tree;26.5;29.1;NA;NA;green;1;NE;Mammalia;Chiroptera;Phyllostomidae;Artibeus;lituratus;Bats;88.5;21.11;3;NA;LC;Stable;NA;NA;NA;NA;Bredt A et al 2012;http://www.livrariadocampus.com.br/products/Plantas-e-Morcegos-%252d-na-recupera%E7%E3o-de-%E1reas-degradadas-e-na-paisagem-urbana.html;Animal-oriented
3721;Artibeus jamaicensis;Andira surinamensis;Mutualistic;Fabaceae;Andira;surinamensis;BR-AC|BR-AM|BR-AP|BR-BA|BR-CE|BR-MA|BR-MT|BR-PA|BR-PB|BR-PI|BR-RO|BR-RR;native;tree;NA;NA;NA;NA;green;1;NE;Mammalia;Chiroptera;Phyllostomidae;Artibeus;jamaicensis;Bats;42;7.2;3;NA;LC;Stable;NA;NA;NA;NA;Bredt A et al 2012;http://www.livrariadocampus.com.br/products/Plantas-e-Morcegos-%252d-na-recupera%E7%E3o-de-%E1reas-degradadas-e-na-paisagem-urbana.html;Animal-oriented
3722;Artibeus lituratus;Andira surinamensis;Mutualistic;Fabaceae;Andira;surinamensis;BR-AC|BR-AM|BR-AP|BR-BA|BR-CE|BR-MA|BR-MT|BR-PA|BR-PB|BR-PI|BR-RO|BR-RR;native;tree;NA;NA;NA;NA;green;1;NE;Mammalia;Chiroptera;Phyllostomidae;Artibeus;lituratus;Bats;88.5;21.11;3;NA;LC;Stable;NA;NA;NA;NA;Bredt A et al 2012;http://www.livrariadocampus.com.br/products/Plantas-e-Morcegos-%252d-na-recupera%E7%E3o-de-%E1reas-degradadas-e-na-paisagem-urbana.html;Animal-oriented
1289;Leontopithecus chrysomelas;Annona bahiensis;Mutualistic;Annonaceae;Annona;bahiensis;BR-BA|BR-MG;native;tree;NA;NA;NA;NA;green;1;NT;Mammalia;Primates;Callitrichidae;Leontopithecus;chrysomelas;Primates;600;NA;2;NA;EN;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1291;Alouatta guariba;Annona cacans;Mutualistic;Annonaceae;Annona;cacans;BR-BA|BR-ES|BR-MG|BR-MS|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;tree;115;65.67;7;12.9;green;1;LC;Mammalia;Primates;Atelidae;Alouatta;guariba;Primates;5625;NA;1;NA;CR;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1293;Tapirus terrestris;Annona cacans;Mutualistic;Annonaceae;Annona;cacans;BR-BA|BR-ES|BR-MG|BR-MS|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;tree;115;65.67;7;12.9;green;1;LC;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Ungulates;260000;NA;1;NA;VU;Decreasing;NA;NA;NA;NA;O'Farrill et al  2013;10.1111/j.1749-4877.2012.00316.x;Animal-oriented
4381;Brachyteles hypoxanthus;Annona cacans;Mutualistic;Annonaceae;Annona;cacans;BR-BA|BR-ES|BR-MG|BR-MS|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;tree;115;65.67;7;12.9;green;1;LC;Mammalia;Primates;Atelidae;Brachyteles;hypoxanthus;Primates;13000;NA;3;NA;CR;Decreasing;Reserva de Santa Genebra, SP;-47,11;-22,83;preciso;Chiarello 1994;http://link.springer.com/article/10.1007/BF02381483;Animal-oriented
4410;Tapirus terrestris;Annona cacans;Mutualistic;Annonaceae;Annona;cacans;BR-BA|BR-ES|BR-MG|BR-MS|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;tree;115;65.67;7;12.9;green;1;LC;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Ungulates;260000;NA;1;NA;VU;Decreasing;Parque Nacional da Tijuca, RJ;-22,96;-43,27;preciso;Cunha 2006;NA;Animal-oriented
8280;Tayassu pecari;Annona cacans;Mutualistic;Annonaceae;Annona;cacans;BR-BA|BR-ES|BR-MG|BR-MS|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;tree;115;65.67;7;12.9;green;1;LC;Mammalia;Artiodactyla;Tayassuidae;Tayassu;pecari;Ungulates;31798.71;NA;2;NA;VU;Decreasing;Estaà®o Ecol¢gica Caetetus, GÊlia, SP;-22,29;-49,55;impreciso;Keuroghlian and Eaton 2007;10.1111/j.1744-7429.2007.00351.x;Animal-oriented
8297;Pecari tajacu;Annona cacans;Mutualistic;Annonaceae;Annona;cacans;BR-BA|BR-ES|BR-MG|BR-MS|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;tree;115;65.67;7;12.9;green;1;LC;Mammalia;Artiodactyla;Tayassuidae;Pecari;tajacu;Ungulates;26000;NA;3;NA;LC;Stable;Estaà®o Ecol¢gica Caetetus, GÊlia, SP;-22,29;-49,55;impreciso;Keuroghlian and Eaton 2007;10.1111/j.1744-7429.2007.00351.x;Animal-oriented
1294;Tapirus terrestris;Annona crassiflora;Mutualistic;Annonaceae;Annona;crassiflora;BR-BA|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-SP|BR-TO;native;tree;150;130;10;17.1;green;1;NE;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Ungulates;260000;NA;1;NA;VU;Decreasing;NA;NA;NA;NA;O'Farrill et al  2013;10.1111/j.1749-4877.2012.00316.x;Animal-oriented
4411;Tapirus terrestris;Annona crassiflora;Mutualistic;Annonaceae;Annona;crassiflora;BR-BA|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-SP|BR-TO;native;tree;150;130;10;17.1;green;1;NE;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Ungulates;260000;NA;1;NA;VU;Decreasing;Reserva Biol¢gica de Una, BA;-15,20;-39,03;preciso;Becky 2004;NA;Animal-oriented
1295;Leontopithecus rosalia;Annona dolabripetala;Mutualistic;Annonaceae;Annona;dolabripetala;BR-BA|BR-MG|BR-PR|BR-RJ|BR-SP;native;tree;3.8;5;6.5;9;green;1;NE;Mammalia;Primates;Callitrichidae;Leontopithecus;rosalia;Primates;600;NA;2;NA;EN;Stable;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1296;Leontopithecus rosalia;Annona dolabripetala;Mutualistic;Annonaceae;Annona;dolabripetala;BR-BA|BR-MG|BR-PR|BR-RJ|BR-SP;native;tree;3.8;5;6.5;9;green;1;NE;Mammalia;Primates;Callitrichidae;Leontopithecus;rosalia;Primates;600;NA;2;NA;EN;Stable;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1297;Leontopithecus rosalia;Annona dolabripetala;Mutualistic;Annonaceae;Annona;dolabripetala;BR-BA|BR-MG|BR-PR|BR-RJ|BR-SP;native;tree;3.8;5;6.5;9;green;1;NE;Mammalia;Primates;Callitrichidae;Leontopithecus;rosalia;Primates;600;NA;2;NA;EN;Stable;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1298;Leontopithecus rosalia;Annona dolabripetala;Mutualistic;Annonaceae;Annona;dolabripetala;BR-BA|BR-MG|BR-PR|BR-RJ|BR-SP;native;tree;3.8;5;6.5;9;green;1;NE;Mammalia;Primates;Callitrichidae;Leontopithecus;rosalia;Primates;600;NA;2;NA;EN;Stable;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
7955;Cerdocyon thous;Annona emarginata;Mutualistic;Annonaceae;Annona;emarginata;BR-BA|BR-DF|BR-MG|BR-MS|BR-MT|BR-PR|BR-RS|BR-SC|BR-SP;native;tree;25;25;5;8;green;1;LC;Mammalia;Carnivora;Canidae;Cerdocyon;thous;Carnivores;6500;NA;2;NA;LC;Stable;Parque Estadual de Intervales;-24,27;-48,41;preciso;Wesley S et al 2002;10.1079/9780851995250.0423;Network study
1299;Alouatta guariba;Annona maritima;Mutualistic;Annonaceae;Annona;maritima;BR-PR|BR-RS|BR-SC;native;tree;NA;NA;NA;NA;green;1;VU;Mammalia;Primates;Atelidae;Alouatta;guariba;Primates;5625;NA;1;NA;CR;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
3686;Artibeus jamaicensis;Annona montana;Mutualistic;Annonaceae;Annona;montana;BR-AC|BR-AL|BR-AM|BR-BA|BR-CE|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SP|BR-TO;native;tree;NA;NA;NA;NA;green;1;NE;Mammalia;Chiroptera;Phyllostomidae;Artibeus;jamaicensis;Bats;42;7.2;3;NA;LC;Stable;NA;NA;NA;NA;Bredt A et al 2012;http://www.livrariadocampus.com.br/products/Plantas-e-Morcegos-%252d-na-recupera%E7%E3o-de-%E1reas-degradadas-e-na-paisagem-urbana.html;Animal-oriented
3687;Artibeus lituratus;Annona montana;Mutualistic;Annonaceae;Annona;montana;BR-AC|BR-AL|BR-AM|BR-BA|BR-CE|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SP|BR-TO;native;tree;NA;NA;NA;NA;green;1;NE;Mammalia;Chiroptera;Phyllostomidae;Artibeus;lituratus;Bats;88.5;21.11;3;NA;LC;Stable;NA;NA;NA;NA;Bredt A et al 2012;http://www.livrariadocampus.com.br/products/Plantas-e-Morcegos-%252d-na-recupera%E7%E3o-de-%E1reas-degradadas-e-na-paisagem-urbana.html;Animal-oriented
1301;Brachyteles arachnoides;Annona neosericea;Mutualistic;Annonaceae;Annona;neosericea;BR-ES|BR-PR|BR-SC|BR-SP;native;tree;51;65;3.7;8.7;green;1;NE;Mammalia;Primates;Atelidae;Brachyteles;arachnoides;Primates;10750;NA;3;NA;EN;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1302;Leontopithecus caissara;Annona neosericea;Mutualistic;Annonaceae;Annona;neosericea;BR-ES|BR-PR|BR-SC|BR-SP;native;tree;51;65;3.7;8.7;green;1;NE;Mammalia;Primates;Callitrichidae;Leontopithecus;caissara;Primates;570;NA;2;NA;CR;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
1303;Sapajus nigritus;Annona neosericea;Mutualistic;Annonaceae;Annona;neosericea;BR-ES|BR-PR|BR-SC|BR-SP;native;tree;51;65;3.7;8.7;green;1;NE;Mammalia;Primates;Cebidae;Sapajus;nigritus;Primates;3500;NA;2;NA;NT;Decreasing;NA;NA;NA;NA;Bufalo et al 2016 ;10.1007/s10764-016-9903-3;Animal-oriented
