ID;Country;State ;Municipality;Study_location;Species;Latitude;Longitude;Precision;Reserve_Area;Altitude;Altitude1km;Annual_mean_temperature;Annual_rainfall;Olsong200r;Olsoneconame;ribeirovegtype;BSRs;uc;protectedtype;ID;Year_start;Year_finish ;Duration;Season;Method;Strata_sampling ;Nights;hours_per_night;number_of_mistnets;effort_straube_bianconi;Sampling_habitat;community;Authors;Type;References;Voucher_Specimens
bat1011;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Desmodus.rotundus;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1012;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Glossophaga.soricina;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1013;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Mimon.bennettii;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1014;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Sturnira.lilium;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1015;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Sturnira.tildae;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1016;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Tonatia.bidens;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1017;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Trachops.cirrhosus;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1018;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Vampyressa.pusilla;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1019;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Myotis.nigricans;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1020;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Myotis.ruber;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
